"rules","support","confidence","lift"
"1","{} => {ORIGIN=DCA}",0.622444343480236,0.622444343480236,1
"2","{} => {Flight.Status=0}",0.805542935029532,0.805542935029532,1
"3","{} => {Weather=0}",0.9854611540209,0.9854611540209,1
"4","{CARRIER=DH} => {ORIGIN=IAD}",0.238073602907769,0.950998185117967,3.05123470181435
"5","{ORIGIN=IAD} => {CARRIER=DH}",0.238073602907769,0.763848396501458,3.05123470181435
"8","{DEST=EWR} => {Weather=0}",0.298500681508405,0.98796992481203,1.002545783546
"11","{levels=level1} => {DEST=LGA}",0.205361199454793,0.626907073509015,1.19984562503769
"12","{levels=level1} => {ORIGIN=DCA}",0.218082689686506,0.665742024965326,1.06956072769977
"13","{levels=level1} => {Flight.Status=0}",0.285324852339846,0.871012482662968,1.08127381519526
"16","{levels=level2} => {Weather=0}",0.498409813721036,0.985624438454627,1.00016569342491
"17","{DEST=LGA} => {ORIGIN=DCA}",0.438437074057247,0.839130434782609,1.34812123135513
"18","{ORIGIN=DCA} => {DEST=LGA}",0.438437074057247,0.704379562043796,1.34812123135513
"19","{DEST=LGA} => {Flight.Status=0}",0.43934575193094,0.840869565217391,1.0438544348807
"20","{DEST=LGA} => {Weather=0}",0.515220354384371,0.986086956521739,1.00063503517951
"21","{ORIGIN=DCA} => {Flight.Status=0}",0.522035438437074,0.838686131386861,1.04114392283276
"22","{Flight.Status=0} => {ORIGIN=DCA}",0.522035438437074,0.648054145516074,1.04114392283276
"23","{ORIGIN=DCA} => {Weather=0}",0.614720581553839,0.987591240875912,1.00216151275606
"24","{Weather=0} => {ORIGIN=DCA}",0.614720581553839,0.623789764868603,1.00216151275606
"25","{Flight.Status=0} => {Weather=0}",0.805542935029532,1,1.01475334255417
"26","{Weather=0} => {Flight.Status=0}",0.805542935029532,0.817427385892116,1.01475334255417
"37","{Weather=0,levels=level1} => {ORIGIN=DCA}",0.215356656065425,0.667605633802817,1.07255474452555
"39","{Weather=0,levels=level1} => {Flight.Status=0}",0.285324852339846,0.884507042253521,1.09802594472645
"45","{DEST=LGA,ORIGIN=DCA} => {Flight.Status=0}",0.380736029077692,0.86839378238342,1.0780229639176
"46","{DEST=LGA,Flight.Status=0} => {ORIGIN=DCA}",0.380736029077692,0.866597724922441,1.39224933763087
"47","{ORIGIN=DCA,Flight.Status=0} => {DEST=LGA}",0.380736029077692,0.729329852045257,1.39587391682749
"48","{DEST=LGA,ORIGIN=DCA} => {Weather=0}",0.433893684688778,0.989637305699482,1.00423776387485
"49","{DEST=LGA,Weather=0} => {ORIGIN=DCA}",0.433893684688778,0.842151675485009,1.35297506404562
"50","{ORIGIN=DCA,Weather=0} => {DEST=LGA}",0.433893684688778,0.705838876570584,1.35091423246248
"52","{DEST=LGA,Weather=0} => {Flight.Status=0}",0.43934575193094,0.852733686067019,1.05858253978201
"54","{ORIGIN=DCA,Weather=0} => {Flight.Status=0}",0.522035438437074,0.849223946784922,1.05422555379222
"59","{DEST=LGA,ORIGIN=DCA,Weather=0} => {Flight.Status=0}",0.380736029077692,0.877486910994764,1.08931116249265
